group,tr1,tr2,tr3,tr4,tr5,tr6,tr7,tr8,tr9,tr10,tr11,tr12,tr13,tr14,tr15,tr16,tr17,tr18,tr19,tr20,tr21,tr22,tr23,tr24,tr25,tr26,tr27,tr28,tr29,tr30,tr31,tr32,tr33,tr34,tr35,tr36,tr37,tr38,tr39,tr40,tr41,tr42,tr43,gender
1.0,5.0,6.0,6.0,6.0,6.0,5.0,2.0,6.0,4.0,6.0,5.0,6.0,5.0,6.0,5.0,5.0,6.0,2.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,5.0,6.0,6.0,3.0,6.0,6.0,6.0,6.0,4.0,5.0,5.0,6.0,6.0,4.0,6.0,6.0,6.0,0
1.0,5.0,6.0,6.0,6.0,6.0,5.0,1.0,6.0,2.0,6.0,5.0,6.0,2.0,4.0,5.0,4.0,5.0,1.0,2.0,6.0,5.0,6.0,6.0,5.0,6.0,3.0,5.0,6.0,6.0,2.0,6.0,6.0,6.0,6.0,4.0,3.0,5.0,5.0,6.0,4.0,6.0,6.0,5.0,0
0.0,5.0,4.0,6.0,2.0,3.0,3.0,1.0,2.0,2.0,6.0,3.0,6.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,5.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,6.0,6.0,3.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,3.0,5.0,2.0,0
1.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,0
1.0,3.0,6.0,6.0,5.0,5.0,3.0,1.0,6.0,2.0,6.0,5.0,6.0,3.0,2.0,4.0,4.0,5.0,1.0,2.0,3.0,5.0,6.0,6.0,4.0,6.0,2.0,4.0,6.0,5.0,3.0,6.0,6.0,6.0,6.0,3.0,2.0,4.0,5.0,5.0,5.0,6.0,6.0,5.0,0
1.0,2.0,6.0,6.0,5.0,3.0,1.0,1.0,5.0,5.0,6.0,5.0,6.0,1.0,2.0,6.0,1.0,1.0,6.0,5.0,2.0,6.0,6.0,6.0,5.0,6.0,4.0,1.0,6.0,2.0,1.0,6.0,6.0,6.0,3.0,4.0,1.0,4.0,5.0,4.0,2.0,6.0,6.0,6.0,0
0.0,3.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,0
0.0,2.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,0
0.0,1.0,5.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,6.0,0
0.0,5.0,5.0,5.0,2.0,5.0,4.0,1.0,4.0,2.0,5.0,4.0,5.0,2.0,5.0,2.0,2.0,5.0,3.0,2.0,3.0,2.0,5.0,3.0,3.0,5.0,5.0,2.0,2.0,4.0,2.0,5.0,6.0,4.0,3.0,4.0,4.0,5.0,3.0,3.0,2.0,4.0,5.0,4.0,0
1.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,2.0,6.0,6.0,6.0,0
1.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,6.0,3.0,6.0,5.0,6.0,3.0,6.0,3.0,5.0,6.0,1.0,3.0,6.0,5.0,6.0,5.0,4.0,6.0,6.0,5.0,6.0,6.0,2.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,2.0,6.0,6.0,5.0,0
1.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,6.0,4.0,6.0,6.0,6.0,1.0,5.0,1.0,2.0,6.0,1.0,1.0,6.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,4.0,3.0,6.0,3.0,6.0,1.0,6.0,6.0,4.0,0
0.0,2.0,6.0,6.0,1.0,6.0,3.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,4.0,6.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,5.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,1.0,3.0,5.0,1.0,0
0.0,3.0,4.0,6.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
1.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,6.0,3.0,6.0,5.0,6.0,3.0,6.0,3.0,5.0,6.0,2.0,4.0,6.0,4.0,6.0,6.0,4.0,6.0,6.0,4.0,5.0,6.0,4.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,2.0,6.0,6.0,5.0,0
1.0,4.0,5.0,6.0,3.0,5.0,2.0,1.0,5.0,2.0,6.0,4.0,6.0,2.0,3.0,4.0,2.0,5.0,2.0,3.0,4.0,4.0,6.0,5.0,4.0,6.0,3.0,2.0,5.0,5.0,2.0,6.0,6.0,5.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,5.0,6.0,5.0,0
1.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,6.0,4.0,6.0,5.0,5.0,3.0,6.0,3.0,5.0,6.0,2.0,4.0,6.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,5.0,5.0,3.0,6.0,6.0,4.0,5.0,4.0,6.0,5.0,6.0,5.0,2.0,5.0,6.0,4.0,0
0.0,6.0,6.0,6.0,3.0,6.0,6.0,1.0,4.0,1.0,4.0,3.0,3.0,1.0,6.0,1.0,4.0,6.0,1.0,1.0,6.0,1.0,6.0,1.0,1.0,5.0,6.0,1.0,1.0,5.0,2.0,6.0,6.0,1.0,1.0,4.0,6.0,6.0,5.0,2.0,1.0,3.0,6.0,1.0,0
1.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0,4.0,6.0,6.0,1.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,2.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,2.0,6.0,6.0,6.0,0
0.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,0
1.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,6.0,5.0,6.0,6.0,6.0,2.0,6.0,4.0,1.0,6.0,1.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,6.0,1.0,6.0,6.0,6.0,0
1.0,2.0,5.0,6.0,3.0,3.0,1.0,1.0,5.0,2.0,6.0,5.0,6.0,2.0,1.0,5.0,1.0,2.0,3.0,2.0,2.0,6.0,6.0,6.0,3.0,6.0,2.0,1.0,5.0,2.0,1.0,6.0,6.0,6.0,3.0,2.0,1.0,2.0,3.0,4.0,2.0,6.0,6.0,6.0,0
0.0,4.0,5.0,5.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
1.0,5.0,6.0,6.0,5.0,5.0,5.0,1.0,6.0,4.0,6.0,5.0,6.0,3.0,4.0,4.0,2.0,5.0,2.0,3.0,6.0,6.0,6.0,6.0,5.0,6.0,4.0,2.0,6.0,6.0,1.0,6.0,6.0,6.0,5.0,3.0,2.0,5.0,4.0,6.0,2.0,6.0,6.0,6.0,0
1.0,4.0,6.0,6.0,6.0,6.0,2.0,1.0,6.0,4.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,4.0,6.0,6.0,4.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,0
1.0,5.0,6.0,6.0,6.0,5.0,4.0,1.0,6.0,4.0,6.0,5.0,6.0,1.0,3.0,5.0,1.0,4.0,2.0,2.0,6.0,5.0,6.0,6.0,5.0,6.0,4.0,1.0,6.0,4.0,1.0,6.0,6.0,6.0,4.0,3.0,1.0,5.0,2.0,6.0,1.0,6.0,6.0,5.0,0
1.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,6.0,4.0,6.0,4.0,6.0,2.0,5.0,2.0,4.0,6.0,1.0,2.0,6.0,3.0,6.0,5.0,4.0,6.0,5.0,4.0,5.0,6.0,1.0,6.0,6.0,5.0,6.0,3.0,4.0,6.0,5.0,5.0,2.0,5.0,6.0,4.0,1
0.0,6.0,6.0,6.0,5.0,6.0,6.0,1.0,6.0,5.0,6.0,5.0,6.0,1.0,6.0,2.0,1.0,6.0,3.0,2.0,6.0,4.0,6.0,5.0,3.0,6.0,6.0,1.0,4.0,5.0,1.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,3.0,3.0,1.0,4.0,5.0,5.0,1
1.0,5.0,6.0,6.0,5.0,5.0,4.0,1.0,5.0,4.0,5.0,5.0,5.0,3.0,6.0,5.0,4.0,3.0,6.0,5.0,5.0,6.0,6.0,6.0,3.0,5.0,6.0,2.0,5.0,4.0,3.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,2.0,2.0,5.0,6.0,6.0,1
1.0,3.0,6.0,6.0,6.0,6.0,3.0,2.0,6.0,4.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,4.0,5.0,6.0,4.0,6.0,6.0,6.0,5.0,6.0,6.0,4.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,4.0,5.0,6.0,6.0,4.0,5.0,6.0,6.0,6.0,1
1.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,6.0,5.0,6.0,6.0,5.0,4.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,4.0,5.0,6.0,5.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,3.0,2.0,6.0,6.0,6.0,1
0.0,2.0,4.0,5.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
1.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,6.0,3.0,6.0,5.0,6.0,2.0,6.0,1.0,6.0,6.0,1.0,1.0,6.0,2.0,6.0,3.0,2.0,6.0,6.0,4.0,4.0,6.0,2.0,6.0,6.0,3.0,6.0,5.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,2.0,1
0.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,6.0,2.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,5.0,6.0,1.0,1.0,3.0,1.0,1.0,4.0,3.0,1.0,6.0,6.0,6.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,6.0,1
1.0,6.0,6.0,6.0,5.0,6.0,6.0,3.0,6.0,2.0,6.0,5.0,5.0,4.0,6.0,3.0,6.0,6.0,1.0,4.0,6.0,4.0,6.0,5.0,2.0,6.0,6.0,5.0,4.0,6.0,4.0,6.0,6.0,3.0,6.0,3.0,6.0,6.0,6.0,4.0,2.0,6.0,6.0,5.0,1
1.0,4.0,5.0,6.0,5.0,5.0,3.0,2.0,5.0,3.0,6.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,5.0,6.0,5.0,4.0,5.0,3.0,4.0,5.0,5.0,3.0,5.0,5.0,6.0,5.0,3.0,4.0,4.0,6.0,3.0,4.0,5.0,6.0,5.0,1
0.0,6.0,5.0,6.0,2.0,6.0,6.0,1.0,3.0,1.0,6.0,3.0,4.0,1.0,2.0,1.0,1.0,6.0,1.0,1.0,6.0,1.0,5.0,1.0,1.0,3.0,2.0,1.0,1.0,5.0,1.0,5.0,6.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,2.0,5.0,1.0,1
1.0,3.0,5.0,6.0,5.0,5.0,1.0,1.0,6.0,4.0,6.0,3.0,6.0,1.0,1.0,5.0,1.0,2.0,3.0,2.0,6.0,6.0,6.0,6.0,4.0,6.0,2.0,1.0,6.0,4.0,1.0,6.0,6.0,6.0,4.0,2.0,1.0,4.0,2.0,4.0,2.0,6.0,5.0,6.0,1
1.0,1.0,6.0,6.0,4.0,3.0,1.0,1.0,4.0,4.0,6.0,5.0,6.0,3.0,3.0,6.0,2.0,1.0,5.0,5.0,2.0,6.0,6.0,6.0,4.0,5.0,4.0,1.0,6.0,3.0,3.0,6.0,6.0,6.0,4.0,3.0,2.0,4.0,6.0,2.0,3.0,6.0,5.0,6.0,1
1.0,6.0,6.0,6.0,6.0,6.0,4.0,1.0,6.0,4.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,1.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,1
0.0,6.0,6.0,6.0,4.0,6.0,6.0,1.0,5.0,4.0,5.0,5.0,5.0,2.0,6.0,2.0,3.0,6.0,4.0,4.0,6.0,5.0,6.0,5.0,3.0,5.0,6.0,2.0,4.0,6.0,2.0,6.0,6.0,4.0,5.0,4.0,6.0,6.0,4.0,3.0,1.0,4.0,5.0,5.0,1
1.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0,4.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,4.0,2.0,6.0,6.0,6.0,1
0.0,6.0,6.0,5.0,2.0,6.0,4.0,1.0,2.0,1.0,3.0,3.0,3.0,1.0,3.0,1.0,2.0,5.0,1.0,1.0,4.0,1.0,5.0,1.0,1.0,2.0,4.0,1.0,1.0,4.0,2.0,4.0,6.0,1.0,1.0,2.0,5.0,5.0,2.0,1.0,1.0,3.0,5.0,2.0,1
1.0,5.0,6.0,6.0,6.0,6.0,4.0,1.0,6.0,5.0,6.0,5.0,6.0,2.0,3.0,5.0,3.0,4.0,3.0,3.0,6.0,6.0,6.0,6.0,5.0,6.0,4.0,2.0,6.0,6.0,1.0,6.0,6.0,6.0,5.0,3.0,2.0,5.0,5.0,5.0,3.0,6.0,6.0,6.0,1
1.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,4.0,6.0,6.0,4.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,4.0,2.0,6.0,6.0,6.0,1
0.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1
1.0,5.0,5.0,5.0,4.0,5.0,2.0,1.0,5.0,3.0,6.0,4.0,6.0,2.0,3.0,3.0,2.0,4.0,3.0,2.0,4.0,4.0,6.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,2.0,6.0,6.0,5.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,5.0,5.0,5.0,1
1.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,6.0,3.0,6.0,6.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,1.0,6.0,6.0,6.0,1
0.0,6.0,6.0,6.0,4.0,6.0,6.0,1.0,6.0,2.0,6.0,4.0,3.0,2.0,5.0,1.0,5.0,6.0,1.0,1.0,6.0,2.0,6.0,1.0,1.0,5.0,6.0,2.0,2.0,6.0,1.0,6.0,6.0,1.0,3.0,3.0,6.0,6.0,6.0,3.0,1.0,5.0,6.0,3.0,1
1.0,6.0,6.0,6.0,5.0,6.0,5.0,2.0,6.0,4.0,6.0,5.0,6.0,3.0,6.0,4.0,3.0,5.0,2.0,4.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,4.0,6.0,6.0,3.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,3.0,6.0,6.0,6.0,1
0.0,2.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
1.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,2.0,6.0,6.0,6.0,1
